Region,City,Q420value,Q222value,percentchange,Change
MW,"Madison, WI",285000,410100,43.9,125100
MW,"Columbus, Ohio",219000,322200,47.1,103200
MW,"Salt Lake City, Utah",335000,605000,80.6,270000
MW,"Grand Rapids, Mich",210000,315300,50.1,105300
MW,"Omaha, Neb",200000,281300,40.7,81300
MW,"Chicago, Ill",252000,370100,46.9,118100
MW,"Cleveland, Ohio",146000,225600,54.5,79600
MW,"Kansas City, MO.",169700,326100,92.2,156400
MW,"Detroit, Mich",181815,271100,49.1,89285
NE,Washington D.C.,435000,626700,44.1,191700
NE,"Rochester, N.Y.",153000,222800,45.6,69800
NE,"Albany, N.Y.",215000,285600,32.8,70600
NE,"Bridgeport, Conn",460000,700600,52.3,240600
NE,"New York, NY-New Jersey",450000,610000,35.6,160000
NE,"Worcester, MA",260000,425400,63.6,165400
NE,"Providence, RI",290000,457700,57.8,167700
NE,"Hartford, Conn",237500,337400,42.1,99900
NE,"Portland, Me",290000,493800,70.3,203800
SE,"Winston-Salem, N.C.",165000,289800,75.6,124800
SE,"Richmond, Va.",257000,391900,52.5,134900
SE,"Durham, N.C.",272000,491800,80.8,219800
SE,"Baton Rouge, La.",189900,275200,44.9,85300
SE,"Miami, Fl",302000,589000,95,287000
SE,"Knoxville, Tenn",196000,336000,71.4,140000
SE,"North Port-Sarasota, Fl",284900,515000,80.8,230100
SE,"Nashville, Tenn",298000,418500,40.4,120500
SE,"Raleigh, N.C.",292000,477600,63.6,185600
SW,"Albuquerque, N.M.",180000,385400,114.1,205400
SW,"Austin, Texas",340000,613200,80.4,273200
SW,"Dallas, Texas",225550,408200,81,182650
SW,"El Paso, Texas",152192,236500,55.4,84308
SW,"Houston, Texas",192500,357200,85.6,164700
SW,"Phoenix, Ariz",308900,496000,60.6,187100
SW,"San Antonio, Texas",175000,349500,99.7,174500
SW,"Tucson, Ariz",229000,380700,66.2,151700
SW,"Tulsa, Okla",169000,251700,48.9,82700
W,"Fresno, Calif",299000,424500,42,125500
W,"San Francisco, Cali",930000,1550000,66.7,620000
W,"San Jose, Cali",1160000,1900000,63.8,740000
W,"Boise City, Idaho",290450,521800,79.7,231350
W,"San Diego, Cali",620000,965900,55.8,345900
W,"Ogden, Utah",289500,518700,79.2,229200
W,"Spokane, WA",280000,458100,63.6,178100
W,"Colorado Springs, CO",345000,480900,39.4,135900
W,"Seattle, WA",525000,818900,56,293900
